distance,pair,value
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,4_6,442.6
3,1_4,445.8
4,5_9,453.2
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,2_5,437.4
4,4_8,416.2
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,6_8,470
3,1_4,445.8
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,3_5,454.4
3,2_5,437.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,3_5,454.4
3,1_4,445.8
4,5_9,453.2
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,7_9,410
3,2_5,437.4
4,2_6,438
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,1_3,425.2
3,4_7,466
4,2_6,438
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,2_5,437.4
4,2_6,438
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,1_3,425.2
3,2_5,437.4
4,5_9,453.2
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,4_6,442.6
3,3_6,453.4
4,2_6,438
5,3_8,428
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,4_6,442.6
3,2_5,437.4
4,5_9,453.2
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,4_6,442.6
3,2_5,437.4
4,1_5,370.6
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,4_6,442.6
3,3_6,453.4
4,1_5,370.6
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,3_5,454.4
3,2_5,437.4
4,2_6,438
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,5_7,461.4
3,4_7,466
4,5_9,453.2
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,5_7,461.4
3,5_8,448.4
4,1_5,370.6
5,2_7,431
6,2_8,427
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,2_4,535.75
3,5_8,448.4
4,4_8,416.2
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,3_5,454.4
3,2_5,437.4
4,4_8,416.2
5,4_9,463.6
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,5_7,461.4
3,4_7,466
4,1_5,370.6
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,5_8,448.4
4,1_5,370.6
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,6_8,470
3,4_7,466
4,1_5,370.6
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,6_8,470
3,5_8,448.4
4,5_9,453.2
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,6_8,470
3,2_5,437.4
4,4_8,416.2
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,2_4,535.75
3,3_6,453.4
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,4_6,442.6
3,2_5,437.4
4,5_9,453.2
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,2_5,437.4
4,3_7,457.6
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,4_6,442.6
3,1_4,445.8
4,3_7,457.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,7_9,410
3,4_7,466
4,3_7,457.6
5,1_6,402.8
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,7_9,410
3,2_5,437.4
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,5_7,461.4
3,6_9,519.4
4,3_7,457.6
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,2_5,437.4
4,5_9,453.2
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,2_4,535.75
3,1_4,445.8
4,5_9,453.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,6_8,470
3,1_4,445.8
4,3_7,457.6
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,2_5,437.4
4,1_5,370.6
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,5_7,461.4
3,2_5,437.4
4,1_5,370.6
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,2_4,535.75
3,1_4,445.8
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,3_5,454.4
3,1_4,445.8
4,1_5,370.6
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,1_3,425.2
3,3_6,453.4
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,6_9,519.4
4,3_7,457.6
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,5_7,461.4
3,1_4,445.8
4,3_7,457.6
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,5_7,461.4
3,5_8,448.4
4,5_9,453.2
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,5_7,461.4
3,3_6,453.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,7_9,410
3,1_4,445.8
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,5_7,461.4
3,2_5,437.4
4,1_5,370.6
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,2_4,535.75
3,4_7,466
4,5_9,453.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,4_6,442.6
3,6_9,519.4
4,5_9,453.2
5,4_9,463.6
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,1_4,445.8
4,1_5,370.6
5,3_8,428
6,2_8,427
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,7_9,410
3,2_5,437.4
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,3_5,454.4
3,1_4,445.8
4,1_5,370.6
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,6_8,470
3,6_9,519.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,4_7,466
4,5_9,453.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,3_6,453.4
4,2_6,438
5,1_6,402.8
6,1_7,400
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,7_9,410
3,4_7,466
4,1_5,370.6
5,1_6,402.8
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,6_9,519.4
4,1_5,370.6
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,1_3,425.2
3,5_8,448.4
4,1_5,370.6
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,7_9,410
3,1_4,445.8
4,4_8,416.2
5,1_6,402.8
6,1_7,400
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,4_6,442.6
3,2_5,437.4
4,4_8,416.2
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,5_7,461.4
3,3_6,453.4
4,5_9,453.2
5,1_6,402.8
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,1_3,425.2
3,5_8,448.4
4,4_8,416.2
5,3_8,428
6,2_8,427
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,2_4,535.75
3,1_4,445.8
4,4_8,416.2
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,3_5,454.4
3,5_8,448.4
4,4_8,416.2
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,8_9,463
2,2_4,535.75
3,5_8,448.4
4,2_6,438
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,7_9,410
3,1_4,445.8
4,5_9,453.2
5,3_8,428
6,1_7,400
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,1_3,425.2
3,4_7,466
4,1_5,370.6
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,5_7,461.4
3,3_6,453.4
4,5_9,453.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,2_4,535.75
3,2_5,437.4
4,4_8,416.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,3_5,454.4
3,6_9,519.4
4,5_9,453.2
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,1_3,425.2
3,6_9,519.4
4,3_7,457.6
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,1_3,425.2
3,1_4,445.8
4,3_7,457.6
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,7_9,410
3,6_9,519.4
4,4_8,416.2
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,4_6,442.6
3,4_7,466
4,1_5,370.6
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,8_9,463
2,2_4,535.75
3,3_6,453.4
4,3_7,457.6
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,4_6,442.6
3,1_4,445.8
4,5_9,453.2
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,3_6,453.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,7_9,410
3,4_7,466
4,1_5,370.6
5,1_6,402.8
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,3_6,453.4
4,5_9,453.2
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,2_5,437.4
4,3_7,457.6
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,5_8,448.4
4,2_6,438
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,5_8,448.4
4,1_5,370.6
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,4_7,466
4,5_9,453.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,6_8,470
3,3_6,453.4
4,3_7,457.6
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,1_4,445.8
4,5_9,453.2
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,5_7,461.4
3,5_8,448.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,2_5,437.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,7_9,410
3,2_5,437.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,4_6,442.6
3,6_9,519.4
4,2_6,438
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,6_8,470
3,1_4,445.8
4,4_8,416.2
5,4_9,463.6
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,3_5,454.4
3,6_9,519.4
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,5_7,461.4
3,4_7,466
4,2_6,438
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,4_6,442.6
3,1_4,445.8
4,2_6,438
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,7_9,410
3,5_8,448.4
4,2_6,438
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,3_5,454.4
3,3_6,453.4
4,5_9,453.2
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,1_4,445.8
4,2_6,438
5,3_8,428
6,2_8,427
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,6_8,470
3,6_9,519.4
4,5_9,453.2
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,5_7,461.4
3,5_8,448.4
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,7_9,410
3,3_6,453.4
4,4_8,416.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,4_6,442.6
3,3_6,453.4
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,6_8,470
3,3_6,453.4
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,4_7,466
4,2_6,438
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,2_4,535.75
3,3_6,453.4
4,1_5,370.6
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,3_5,454.4
3,2_5,437.4
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,1_4,445.8
4,3_7,457.6
5,1_6,402.8
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,1_3,425.2
3,6_9,519.4
4,4_8,416.2
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,5_7,461.4
3,5_8,448.4
4,5_9,453.2
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,4_6,442.6
3,5_8,448.4
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,4_7,466
4,1_5,370.6
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,2_4,535.75
3,2_5,437.4
4,1_5,370.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,3_4,516.25
2,5_7,461.4
3,2_5,437.4
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,4_6,442.6
3,2_5,437.4
4,5_9,453.2
5,3_8,428
6,2_8,427
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,7_9,410
3,4_7,466
4,2_6,438
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,2_5,437.4
4,1_5,370.6
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,6_8,470
3,3_6,453.4
4,1_5,370.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,2_4,535.75
3,1_4,445.8
4,1_5,370.6
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,4_7,466
4,2_6,438
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,4_6,442.6
3,1_4,445.8
4,4_8,416.2
5,1_6,402.8
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,4_6,442.6
3,6_9,519.4
4,1_5,370.6
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,5_7,461.4
3,1_4,445.8
4,4_8,416.2
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,3_5,454.4
3,1_4,445.8
4,5_9,453.2
5,4_9,463.6
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,4_5,535.2
2,5_7,461.4
3,2_5,437.4
4,2_6,438
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,7_9,410
3,5_8,448.4
4,3_7,457.6
5,1_6,402.8
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,1_2,420.5
2,6_8,470
3,1_4,445.8
4,5_9,453.2
5,2_7,431
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,2_4,535.75
3,6_9,519.4
4,5_9,453.2
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,6_9,519.4
4,3_7,457.6
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,4_6,442.6
3,6_9,519.4
4,4_8,416.2
5,2_7,431
6,2_8,427
7,2_9,437
8,1_9,381.6
1,8_9,463
2,4_6,442.6
3,2_5,437.4
4,1_5,370.6
5,2_7,431
6,1_7,400
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,2_4,535.75
3,1_4,445.8
4,2_6,438
5,4_9,463.6
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,4_5,535.2
2,4_6,442.6
3,5_8,448.4
4,4_8,416.2
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,3_6,453.4
4,5_9,453.2
5,1_6,402.8
6,2_8,427
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,4_6,442.6
3,4_7,466
4,4_8,416.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,4_7,466
4,1_5,370.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,8_9,463
2,2_4,535.75
3,4_7,466
4,5_9,453.2
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,6_7,515
2,5_7,461.4
3,1_4,445.8
4,5_9,453.2
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,4_6,442.6
3,2_5,437.4
4,3_7,457.6
5,1_6,402.8
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,3_5,454.4
3,3_6,453.4
4,4_8,416.2
5,1_6,402.8
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,5_6,526.5
2,6_8,470
3,6_9,519.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,1_3,425.2
3,4_7,466
4,2_6,438
5,3_8,428
6,2_8,427
7,2_9,437
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,2_5,437.4
4,2_6,438
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,1_3,425.2
3,6_9,519.4
4,2_6,438
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,1_2,420.5
2,1_3,425.2
3,4_7,466
4,5_9,453.2
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,8_9,463
2,5_7,461.4
3,5_8,448.4
4,4_8,416.2
5,4_9,463.6
6,2_8,427
7,2_9,437
8,1_9,381.6
1,3_4,516.25
2,7_9,410
3,1_4,445.8
4,2_6,438
5,2_7,431
6,2_8,427
7,2_9,437
8,1_9,381.6
1,5_6,526.5
2,3_5,454.4
3,5_8,448.4
4,4_8,416.2
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,6_8,470
3,6_9,519.4
4,4_8,416.2
5,1_6,402.8
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,3_5,454.4
3,6_9,519.4
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,7_9,410
3,3_6,453.4
4,2_6,438
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,7_8,536.75
2,7_9,410
3,4_7,466
4,3_7,457.6
5,3_8,428
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,7_9,410
3,3_6,453.4
4,2_6,438
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,2_4,535.75
3,4_7,466
4,3_7,457.6
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,3_5,454.4
3,1_4,445.8
4,5_9,453.2
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,6_8,470
3,2_5,437.4
4,3_7,457.6
5,2_7,431
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,4_6,442.6
3,4_7,466
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,3_5,454.4
3,6_9,519.4
4,1_5,370.6
5,3_8,428
6,3_9,439.6
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,4_6,442.6
3,4_7,466
4,3_7,457.6
5,2_7,431
6,3_9,439.6
7,1_8,395.8
8,1_9,381.6
1,6_7,515
2,6_8,470
3,3_6,453.4
4,4_8,416.2
5,3_8,428
6,2_8,427
7,1_8,395.8
8,1_9,381.6
1,7_8,536.75
2,2_4,535.75
3,6_9,519.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,2_3,509.8
2,1_3,425.2
3,2_5,437.4
4,4_8,416.2
5,4_9,463.6
6,1_7,400
7,2_9,437
8,1_9,381.6
1,2_3,509.8
2,7_9,410
3,3_6,453.4
4,4_8,416.2
5,3_8,428
6,1_7,400
7,1_8,395.8
8,1_9,381.6
1,8_9,463
2,2_4,535.75
3,2_5,437.4
4,5_9,453.2
5,1_6,402.8
6,1_7,400
7,2_9,437
8,1_9,381.6
1,3_4,516.25
