distance,pair,value
1,6_7,588.25
2,6_8,647
3,2_5,518
4,1_5,463.6
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,2_4,485.6
3,3_6,537.6
4,5_9,559
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,2_4,485.6
3,1_4,540.8
4,4_8,628.4
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,5_7,558.5
3,3_6,537.6
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,4_6,554.75
3,1_4,540.8
4,5_9,559
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,6_8,647
3,3_6,537.6
4,4_8,628.4
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,2_4,485.6
3,2_5,518
4,3_7,498
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,2_5,518
4,4_8,628.4
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,2_4,485.6
3,6_9,574
4,1_5,463.6
5,3_8,553
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,6_8,647
3,5_8,510.5
4,1_5,463.6
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,5_7,558.5
3,1_4,540.8
4,2_6,467.2
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,2_4,485.6
3,2_5,518
4,3_7,498
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,2_4,485.6
3,3_6,537.6
4,5_9,559
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,3_5,593.2
3,3_6,537.6
4,1_5,463.6
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,4_6,554.75
3,2_5,518
4,2_6,467.2
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,3_5,593.2
3,6_9,574
4,5_9,559
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,4_6,554.75
3,6_9,574
4,3_7,498
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,3_5,593.2
3,4_7,565.8
4,5_9,559
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,3_5,593.2
3,1_4,540.8
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,5_7,558.5
3,3_6,537.6
4,2_6,467.2
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,1_3,534.4
3,4_7,565.8
4,5_9,559
5,1_6,472
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,5_7,558.5
3,3_6,537.6
4,5_9,559
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,4_7,565.8
4,2_6,467.2
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,2_4,485.6
3,1_4,540.8
4,4_8,628.4
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,4_6,554.75
3,4_7,565.8
4,3_7,498
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,6_8,647
3,6_9,574
4,1_5,463.6
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,6_8,647
3,1_4,540.8
4,3_7,498
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,7_9,590
3,3_6,537.6
4,5_9,559
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,7_9,590
3,6_9,574
4,2_6,467.2
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,5_7,558.5
3,3_6,537.6
4,1_5,463.6
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,5_7,558.5
3,5_8,510.5
4,3_7,498
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,6_8,647
3,2_5,518
4,3_7,498
5,2_7,605.4
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,5_7,558.5
3,1_4,540.8
4,1_5,463.6
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,6_8,647
3,3_6,537.6
4,5_9,559
5,4_9,554.2
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,7_9,590
3,3_6,537.6
4,2_6,467.2
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,6_9,574
4,3_7,498
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,4_7,565.8
4,4_8,628.4
5,4_9,554.2
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,3_5,593.2
3,2_5,518
4,3_7,498
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,2_4,485.6
3,3_6,537.6
4,3_7,498
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,1_3,534.4
3,6_9,574
4,3_7,498
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,3_5,593.2
3,4_7,565.8
4,4_8,628.4
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,5_7,558.5
3,1_4,540.8
4,5_9,559
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,3_6,537.6
4,4_8,628.4
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,1_3,534.4
3,5_8,510.5
4,5_9,559
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,6_8,647
3,5_8,510.5
4,3_7,498
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,3_5,593.2
3,6_9,574
4,4_8,628.4
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,3_5,593.2
3,1_4,540.8
4,4_8,628.4
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,1_3,534.4
3,3_6,537.6
4,1_5,463.6
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,3_5,593.2
3,1_4,540.8
4,1_5,463.6
5,1_6,472
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,6_8,647
3,1_4,540.8
4,1_5,463.6
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,3_5,593.2
3,6_9,574
4,4_8,628.4
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,5_7,558.5
3,4_7,565.8
4,4_8,628.4
5,2_7,605.4
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,5_7,558.5
3,1_4,540.8
4,5_9,559
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,4_6,554.75
3,5_8,510.5
4,4_8,628.4
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,2_4,485.6
3,3_6,537.6
4,2_6,467.2
5,1_6,472
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,5_7,558.5
3,1_4,540.8
4,4_8,628.4
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,2_4,485.6
3,3_6,537.6
4,5_9,559
5,4_9,554.2
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,3_6,537.6
4,1_5,463.6
5,3_8,553
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,1_3,534.4
3,6_9,574
4,5_9,559
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,1_3,534.4
3,1_4,540.8
4,2_6,467.2
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,4_6,554.75
3,6_9,574
4,1_5,463.6
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,4_7,565.8
4,4_8,628.4
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,7_9,590
3,3_6,537.6
4,5_9,559
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,7_9,590
3,3_6,537.6
4,3_7,498
5,4_9,554.2
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,6_8,647
3,2_5,518
4,1_5,463.6
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,4_6,554.75
3,5_8,510.5
4,5_9,559
5,2_7,605.4
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,5_7,558.5
3,5_8,510.5
4,4_8,628.4
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,7_9,590
3,6_9,574
4,5_9,559
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,6_8,647
3,4_7,565.8
4,2_6,467.2
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,6_8,647
3,3_6,537.6
4,4_8,628.4
5,3_8,553
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,5_7,558.5
3,4_7,565.8
4,2_6,467.2
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,4_6,554.75
3,3_6,537.6
4,3_7,498
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,5_8,510.5
4,5_9,559
5,1_6,472
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,7_9,590
3,1_4,540.8
4,3_7,498
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,3_5,593.2
3,3_6,537.6
4,3_7,498
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,2_4,485.6
3,1_4,540.8
4,2_6,467.2
5,4_9,554.2
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,3_5,593.2
3,3_6,537.6
4,4_8,628.4
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,3_5,593.2
3,3_6,537.6
4,4_8,628.4
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,7_9,590
3,4_7,565.8
4,5_9,559
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,5_7,558.5
3,4_7,565.8
4,2_6,467.2
5,1_6,472
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,2_4,485.6
3,4_7,565.8
4,2_6,467.2
5,2_7,605.4
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,5_7,558.5
3,1_4,540.8
4,4_8,628.4
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,6_9,574
4,2_6,467.2
5,1_6,472
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,7_9,590
3,6_9,574
4,2_6,467.2
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,2_4,485.6
3,1_4,540.8
4,4_8,628.4
5,1_6,472
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,1_3,534.4
3,4_7,565.8
4,5_9,559
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,7_9,590
3,4_7,565.8
4,1_5,463.6
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,4_6,554.75
3,2_5,518
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,3_5,593.2
3,1_4,540.8
4,5_9,559
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,4_7,565.8
4,1_5,463.6
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,5_7,558.5
3,4_7,565.8
4,1_5,463.6
5,2_7,605.4
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,5_7,558.5
3,5_8,510.5
4,3_7,498
5,3_8,553
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,4_6,554.75
3,4_7,565.8
4,3_7,498
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,3_5,593.2
3,3_6,537.6
4,3_7,498
5,1_6,472
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,5_7,558.5
3,3_6,537.6
4,1_5,463.6
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,1_3,534.4
3,5_8,510.5
4,4_8,628.4
5,3_8,553
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,6_8,647
3,2_5,518
4,5_9,559
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,6_8,647
3,3_6,537.6
4,2_6,467.2
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,3_5,593.2
3,3_6,537.6
4,1_5,463.6
5,1_6,472
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,2_4,485.6
3,3_6,537.6
4,5_9,559
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,5_7,558.5
3,2_5,518
4,5_9,559
5,4_9,554.2
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,2_4,485.6
3,3_6,537.6
4,5_9,559
5,2_7,605.4
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,3_5,593.2
3,2_5,518
4,3_7,498
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,7_9,590
3,1_4,540.8
4,2_6,467.2
5,2_7,605.4
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,6_8,647
3,5_8,510.5
4,4_8,628.4
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,6_8,647
3,5_8,510.5
4,4_8,628.4
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,5_7,558.5
3,1_4,540.8
4,3_7,498
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,1_3,534.4
3,2_5,518
4,4_8,628.4
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,7_9,590
3,4_7,565.8
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,1_3,534.4
3,5_8,510.5
4,5_9,559
5,4_9,554.2
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,4_6,554.75
3,2_5,518
4,1_5,463.6
5,1_6,472
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,1_3,534.4
3,5_8,510.5
4,3_7,498
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,5_7,558.5
3,5_8,510.5
4,3_7,498
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,3_5,593.2
3,2_5,518
4,3_7,498
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,4_6,554.75
3,3_6,537.6
4,5_9,559
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,7_9,590
3,5_8,510.5
4,3_7,498
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,6_8,647
3,3_6,537.6
4,2_6,467.2
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,3_5,593.2
3,6_9,574
4,1_5,463.6
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,6_8,647
3,6_9,574
4,5_9,559
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,1_3,534.4
3,3_6,537.6
4,1_5,463.6
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,6_8,647
3,4_7,565.8
4,3_7,498
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,6_8,647
3,1_4,540.8
4,3_7,498
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,3_5,593.2
3,1_4,540.8
4,5_9,559
5,2_7,605.4
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,5_7,558.5
3,6_9,574
4,1_5,463.6
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,6_8,647
3,3_6,537.6
4,1_5,463.6
5,1_6,472
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,1_3,534.4
3,2_5,518
4,4_8,628.4
5,4_9,554.2
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,1_3,534.4
3,6_9,574
4,1_5,463.6
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,4_6,554.75
3,4_7,565.8
4,3_7,498
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,6_8,647
3,4_7,565.8
4,4_8,628.4
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,5_7,558.5
3,6_9,574
4,3_7,498
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,7_9,590
3,2_5,518
4,3_7,498
5,3_8,553
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,5_7,558.5
3,5_8,510.5
4,4_8,628.4
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,3_5,593.2
3,6_9,574
4,2_6,467.2
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,2_4,485.6
3,2_5,518
4,1_5,463.6
5,2_7,605.4
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,4_5,623.8
2,6_8,647
3,5_8,510.5
4,3_7,498
5,3_8,553
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,4_6,554.75
3,1_4,540.8
4,2_6,467.2
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,7_9,590
3,6_9,574
4,2_6,467.2
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,2_3,561.6
2,2_4,485.6
3,4_7,565.8
4,3_7,498
5,1_6,472
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,7_8,574
2,1_3,534.4
3,4_7,565.8
4,5_9,559
5,3_8,553
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,1_3,534.4
3,5_8,510.5
4,4_8,628.4
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,2_4,485.6
3,6_9,574
4,5_9,559
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,7_9,590
3,3_6,537.6
4,3_7,498
5,2_7,605.4
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,3_5,593.2
3,5_8,510.5
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,1_3,534.4
3,4_7,565.8
4,4_8,628.4
5,2_7,605.4
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,4_5,623.8
2,3_5,593.2
3,3_6,537.6
4,4_8,628.4
5,1_6,472
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,5_6,544.75
2,6_8,647
3,5_8,510.5
4,3_7,498
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,8_9,694.25
2,3_5,593.2
3,4_7,565.8
4,5_9,559
5,1_6,472
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,1_2,595.2
2,1_3,534.4
3,5_8,510.5
4,2_6,467.2
5,2_7,605.4
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,6_7,588.25
2,3_5,593.2
3,4_7,565.8
4,4_8,628.4
5,1_6,472
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,2_3,561.6
2,7_9,590
3,5_8,510.5
4,3_7,498
5,3_8,553
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,7_8,574
2,2_4,485.6
3,2_5,518
4,3_7,498
5,2_7,605.4
6,1_7,508.2
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,2_5,518
4,5_9,559
5,4_9,554.2
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,5_7,558.5
3,2_5,518
4,3_7,498
5,2_7,605.4
6,1_7,508.2
7,2_9,508.2
8,1_9,443.6
1,1_2,595.2
2,7_9,590
3,6_9,574
4,5_9,559
5,4_9,554.2
6,3_9,526
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,4_6,554.75
3,2_5,518
4,5_9,559
5,4_9,554.2
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,3_4,511.333
2,1_3,534.4
3,2_5,518
4,5_9,559
5,1_6,472
6,2_8,539
7,2_9,508.2
8,1_9,443.6
1,6_7,588.25
2,3_5,593.2
3,4_7,565.8
4,4_8,628.4
5,3_8,553
6,3_9,526
7,2_9,508.2
8,1_9,443.6
1,5_6,544.75
2,6_8,647
3,6_9,574
4,5_9,559
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,3_4,511.333
2,3_5,593.2
3,2_5,518
4,4_8,628.4
5,4_9,554.2
6,2_8,539
7,1_8,506.6
8,1_9,443.6
1,8_9,694.25
2,7_9,590
3,3_6,537.6
4,5_9,559
5,1_6,472
6,1_7,508.2
7,2_9,508.2
