distance,pair,value
3,1_4,394
4,1_5,539.6
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,2_4,501.4
3,4_7,496.5
4,5_9,480.6
5,4_9,515
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,6_8,633.5
3,3_6,675.4
4,1_5,539.6
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,6_8,633.5
3,1_4,394
4,4_8,636.8
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,4_6,612.25
3,2_5,593
4,5_9,480.6
5,3_8,527.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,5_7,668.667
3,2_5,593
4,5_9,480.6
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,4_6,612.25
3,3_6,675.4
4,2_6,601.8
5,3_8,527.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,2_4,501.4
3,6_9,611.75
4,5_9,480.6
5,3_8,527.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,4_6,612.25
3,5_8,580.2
4,4_8,636.8
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,2_4,501.4
3,5_8,580.2
4,4_8,636.8
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,2_4,501.4
3,1_4,394
4,3_7,604.4
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,6_8,633.5
3,4_7,496.5
4,3_7,604.4
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,4_6,612.25
3,6_9,611.75
4,2_6,601.8
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,6_9,611.75
4,1_5,539.6
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,7_9,585.25
3,5_8,580.2
4,5_9,480.6
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,2_4,501.4
3,2_5,593
4,4_8,636.8
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,1_3,566.4
3,6_9,611.75
4,2_6,601.8
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,3_5,582
3,1_4,394
4,1_5,539.6
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,7_9,585.25
3,5_8,580.2
4,5_9,480.6
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,3_5,582
3,4_7,496.5
4,4_8,636.8
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,7_9,585.25
3,2_5,593
4,5_9,480.6
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,2_4,501.4
3,5_8,580.2
4,2_6,601.8
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,2_5,593
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,4_7,496.5
4,1_5,539.6
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,5_7,668.667
3,1_4,394
4,5_9,480.6
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,4_6,612.25
3,4_7,496.5
4,2_6,601.8
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,5_7,668.667
3,3_6,675.4
4,4_8,636.8
5,2_7,549
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,4_6,612.25
3,4_7,496.5
4,4_8,636.8
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,7_9,585.25
3,2_5,593
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,7_9,585.25
3,4_7,496.5
4,3_7,604.4
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,6_8,633.5
3,6_9,611.75
4,1_5,539.6
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,2_4,501.4
3,4_7,496.5
4,4_8,636.8
5,4_9,515
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,4_6,612.25
3,1_4,394
4,5_9,480.6
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,2_4,501.4
3,4_7,496.5
4,3_7,604.4
5,4_9,515
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,4_6,612.25
3,3_6,675.4
4,3_7,604.4
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,1_2,517.2
2,2_4,501.4
3,4_7,496.5
4,3_7,604.4
5,3_8,527.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,1_3,566.4
3,4_7,496.5
4,5_9,480.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,1_2,517.2
2,5_7,668.667
3,3_6,675.4
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,7_9,585.25
3,4_7,496.5
4,2_6,601.8
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,1_3,566.4
3,6_9,611.75
4,4_8,636.8
5,4_9,515
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,3_5,582
3,1_4,394
4,5_9,480.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,1_2,517.2
2,4_6,612.25
3,4_7,496.5
4,4_8,636.8
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,3_5,582
3,4_7,496.5
4,3_7,604.4
5,4_9,515
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,6_8,633.5
3,4_7,496.5
4,2_6,601.8
5,2_7,549
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,3_4,692.2
2,3_5,582
3,4_7,496.5
4,3_7,604.4
5,3_8,527.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,2_4,501.4
3,6_9,611.75
4,5_9,480.6
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,4_6,612.25
3,6_9,611.75
4,3_7,604.4
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,6_8,633.5
3,3_6,675.4
4,3_7,604.4
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,1_3,566.4
3,2_5,593
4,4_8,636.8
5,2_7,549
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,2_4,501.4
3,2_5,593
4,2_6,601.8
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,3_5,582
3,3_6,675.4
4,5_9,480.6
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,2_4,501.4
3,6_9,611.75
4,1_5,539.6
5,3_8,527.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,4_6,612.25
3,5_8,580.2
4,3_7,604.4
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,3_4,692.2
2,4_6,612.25
3,5_8,580.2
4,5_9,480.6
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,1_3,566.4
3,5_8,580.2
4,2_6,601.8
5,4_9,515
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,4_7,496.5
4,5_9,480.6
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,2_4,501.4
3,2_5,593
4,3_7,604.4
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,5_7,668.667
3,3_6,675.4
4,4_8,636.8
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,7_9,585.25
3,1_4,394
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,2_5,593
4,2_6,601.8
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,2_5,593
4,3_7,604.4
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,1_3,566.4
3,6_9,611.75
4,5_9,480.6
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,3_5,582
3,6_9,611.75
4,1_5,539.6
5,3_8,527.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,4_6,612.25
3,5_8,580.2
4,2_6,601.8
5,1_6,504.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,1_3,566.4
3,6_9,611.75
4,4_8,636.8
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,1_3,566.4
3,4_7,496.5
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,6_8,633.5
3,5_8,580.2
4,5_9,480.6
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,6_8,633.5
3,3_6,675.4
4,1_5,539.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,4_7,496.5
4,3_7,604.4
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,3_5,582
3,3_6,675.4
4,2_6,601.8
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,1_3,566.4
3,2_5,593
4,4_8,636.8
5,3_8,527.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,2_4,501.4
3,3_6,675.4
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,4_7,496.5
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,7_9,585.25
3,2_5,593
4,5_9,480.6
5,3_8,527.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,5_7,668.667
3,1_4,394
4,5_9,480.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,5_7,668.667
3,5_8,580.2
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,3_5,582
3,3_6,675.4
4,4_8,636.8
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,1_3,566.4
3,4_7,496.5
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,4_6,612.25
3,2_5,593
4,2_6,601.8
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,5_6,623.75
2,3_5,582
3,1_4,394
4,5_9,480.6
5,1_6,504.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,1_3,566.4
3,1_4,394
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,4_6,612.25
3,3_6,675.4
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,7_9,585.25
3,1_4,394
4,1_5,539.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,4_6,612.25
3,3_6,675.4
4,5_9,480.6
5,3_8,527.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,7_9,585.25
3,1_4,394
4,1_5,539.6
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,1_2,517.2
2,3_5,582
3,1_4,394
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,3_6,675.4
4,5_9,480.6
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,3_4,692.2
2,5_7,668.667
3,4_7,496.5
4,5_9,480.6
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,2_4,501.4
3,2_5,593
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,1_3,566.4
3,3_6,675.4
4,5_9,480.6
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,2_4,501.4
3,2_5,593
4,2_6,601.8
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,1_3,566.4
3,6_9,611.75
4,2_6,601.8
5,2_7,549
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,6_8,633.5
3,2_5,593
4,2_6,601.8
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,4_6,612.25
3,2_5,593
4,3_7,604.4
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,5_7,668.667
3,1_4,394
4,1_5,539.6
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,7_9,585.25
3,2_5,593
4,3_7,604.4
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,4_6,612.25
3,1_4,394
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,7_9,585.25
3,2_5,593
4,5_9,480.6
5,4_9,515
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,4_6,612.25
3,3_6,675.4
4,2_6,601.8
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,6_8,633.5
3,5_8,580.2
4,3_7,604.4
5,4_9,515
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,6_8,633.5
3,1_4,394
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,3_5,582
3,3_6,675.4
4,5_9,480.6
5,3_8,527.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,4_5,558.75
2,1_3,566.4
3,2_5,593
4,3_7,604.4
5,3_8,527.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,7_9,585.25
3,2_5,593
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,6_8,633.5
3,2_5,593
4,3_7,604.4
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,7_9,585.25
3,4_7,496.5
4,5_9,480.6
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,7_9,585.25
3,6_9,611.75
4,5_9,480.6
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,1_3,566.4
3,3_6,675.4
4,5_9,480.6
5,4_9,515
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,2_3,427.5
2,6_8,633.5
3,5_8,580.2
4,4_8,636.8
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,4_5,558.75
2,3_5,582
3,5_8,580.2
4,4_8,636.8
5,4_9,515
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,3_5,582
3,3_6,675.4
4,2_6,601.8
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,5_7,668.667
3,3_6,675.4
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,2_4,501.4
3,2_5,593
4,3_7,604.4
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,1_3,566.4
3,1_4,394
4,3_7,604.4
5,3_8,527.8
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,7_8,572.4
2,6_8,633.5
3,4_7,496.5
4,5_9,480.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,4_6,612.25
3,1_4,394
4,4_8,636.8
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,4_6,612.25
3,5_8,580.2
4,3_7,604.4
5,3_8,527.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,5_7,668.667
3,6_9,611.75
4,2_6,601.8
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,1_2,517.2
2,3_5,582
3,6_9,611.75
4,1_5,539.6
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,5_7,668.667
3,2_5,593
4,3_7,604.4
5,1_6,504.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,5_6,623.75
2,3_5,582
3,1_4,394
4,3_7,604.4
5,4_9,515
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,7_9,585.25
3,6_9,611.75
4,3_7,604.4
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,8_9,732.4
2,6_8,633.5
3,1_4,394
4,3_7,604.4
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,5_7,668.667
3,1_4,394
4,1_5,539.6
5,4_9,515
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,2_4,501.4
3,2_5,593
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,4_6,612.25
3,6_9,611.75
4,3_7,604.4
5,3_8,527.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,1_3,566.4
3,3_6,675.4
4,2_6,601.8
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,3_6,675.4
4,2_6,601.8
5,1_6,504.8
6,2_8,445.4
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,6_8,633.5
3,6_9,611.75
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,6_7,595.75
2,7_9,585.25
3,1_4,394
4,2_6,601.8
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,8_9,732.4
2,2_4,501.4
3,3_6,675.4
4,5_9,480.6
5,1_6,504.8
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,2_5,593
4,5_9,480.6
5,2_7,549
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,4_6,612.25
3,5_8,580.2
4,2_6,601.8
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,2_4,501.4
3,6_9,611.75
4,4_8,636.8
5,2_7,549
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,2_3,427.5
2,3_5,582
3,4_7,496.5
4,1_5,539.6
5,2_7,549
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,6_8,633.5
3,1_4,394
4,3_7,604.4
5,1_6,504.8
6,2_8,445.4
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,7_9,585.25
3,5_8,580.2
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,2_9,596.8
8,1_9,463.4
1,3_4,692.2
2,5_7,668.667
3,2_5,593
4,3_7,604.4
5,3_8,527.8
6,1_7,547.4
7,2_9,596.8
8,1_9,463.4
1,7_8,572.4
2,6_8,633.5
3,4_7,496.5
4,1_5,539.6
5,4_9,515
6,3_9,538.6
7,1_8,544
8,1_9,463.4
1,1_2,517.2
2,1_3,566.4
3,1_4,394
4,5_9,480.6
5,2_7,549
6,1_7,547.4
7,1_8,544
8,1_9,463.4
1,6_7,595.75
2,4_6,612.25
